level,unit,unitTitle,moduleId,moduleTitle,topics,id,lemma,pos,gender,plural,en,example,forms,aux,separable,reflexive,prep,case,comparative,superlative,rank,note,audio
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,oma,Oma,noun,die,Omas,grandma,Oma backt heute einen Kuchen.,,,,,,,,,1662,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,opa,Opa,noun,der,Opas,grandpa,Mein Opa geht jeden Tag spazieren.,,,,,,,,,2021,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,onkel,Onkel,noun,der,Onkel,uncle,Mein Onkel hat ein kleines Restaurant.,,,,,,,,,740,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,tante,Tante,noun,die,Tanten,aunt,Meine Tante kommt am Wochenende.,,,,,,,,,1163,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,cousin,Cousin,noun,der,Cousins,cousin (male),Mein Cousin studiert in Köln.,,,,,,,,,2289,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,ehemann,Ehemann,noun,der,Ehemänner,husband,Ihr Ehemann ist Lehrer.,,,,,,,,,1434,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,ehefrau,Ehefrau,noun,die,Ehefrauen,wife,Seine Ehefrau arbeitet im Krankenhaus.,,,,,,,,,3712,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,freund,Freund,noun,der,Freunde,"friend (male), boyfriend",Ein Freund von mir wohnt hier.,,,,,,,,,260,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,freundin,Freundin,noun,die,Freundinnen,"friend (female), girlfriend",Meine Freundin lernt auch Deutsch.,,,,,,,,,543,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,baby,Baby,noun,das,Babys,baby,Das Baby schläft gerade.,,,,,,,,,371,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,heiraten,heiraten,verb,,,to marry,Sie heiraten im Juni.,heiratet|heiratete|geheiratet,haben,,,,,,,734,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,lieben,lieben,verb,,,to love,Ich liebe meine Familie.,liebt|liebte|geliebt,haben,,,,,,,658,,
A1,a1-02,Familie & Beziehungen,a1-m1,Ich & die Anderen,familie,kennen,kennen,verb,,,to know (a person),Kennst du meinen Bruder?,kennt|kannte|gekannt,haben,,,,,,,353,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,gefuehl,Gefühl,noun,das,Gefühle,feeling,Ich habe ein gutes Gefühl.,,,,,,,,,753,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,angst,Angst,noun,die,Ängste,fear,Ich habe Angst vor Hunden.,,,,,,,,,267,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,freude,Freude,noun,die,Freuden,joy,Der Brief war eine große Freude.,,,,,,,,,1433,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,liebe,Liebe,noun,die,,love,Liebe ist wichtiger als Geld.,,,,,,,,,188,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,glueck,Glück,noun,das,,"luck, happiness",Viel Glück bei der Prüfung!,,,,,,,,,380,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,stress,Stress,noun,der,,stress,Ich habe im Moment viel Stress.,,,,,,,,,2905,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,spass,Spaß,noun,der,Späße,fun,Der Kurs macht mir Spaß.,,,,,,,,,517,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,problem,Problem,noun,das,Probleme,problem,Kein Problem!,,,,,,,,,310,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,lust,Lust,noun,die,,"desire, inclination",Hast du Lust auf Kaffee?,,,,,,,,,1259,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,fuehlen,fühlen,verb,,,to feel,Ich fühle mich heute besser.,fühlt|fühlte|gefühlt,haben,,true,,,,,844,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,freuen,freuen,verb,,,"to be glad, to look forward to",Ich freue mich auf das Wochenende.,freut|freute|gefreut,haben,,true,auf,akk,,,1641,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,lachen,lachen,verb,,,to laugh,Wir haben viel gelacht.,lacht|lachte|gelacht,haben,,,,,,,857,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,weinen,weinen,verb,,,to cry,"Das Kind weint, weil es müde ist.",weint|weinte|geweint,haben,,,,,,,1675,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,aergern,ärgern,verb,,,"to annoy, to be annoyed",Ich ärgere mich über den Lärm.,ärgert|ärgerte|geärgert,haben,,true,über,akk,,,5528,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,moegen,mögen,verb,,,to like,Ich mag deutschen Kaffee nicht.,mag|mochte|gemocht,haben,,,,,,,893,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,gluecklich,glücklich,adj,,,happy,Sie ist sehr glücklich.,,,,,,,glücklicher,am glücklichsten,597,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,traurig,traurig,adj,,,sad,Warum bist du so traurig?,,,,,,,trauriger,am traurigsten,1204,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,muede,müde,adj,,,tired,Ich bin heute sehr müde.,,,,,,,müder,am müdesten,1083,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,froehlich,fröhlich,adj,,,cheerful,Er ist immer fröhlich.,,,,,,,fröhlicher,am fröhlichsten,4965,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,wuetend,wütend,adj,,,angry,Mein Chef war sehr wütend.,,,,,,,wütender,am wütendsten,1100,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,nervoes,nervös,adj,,,nervous,Vor der Prüfung bin ich nervös.,,,,,,,nervöser,am nervösesten,1324,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,ruhig,ruhig,adj,,,"calm, quiet",Bitte sei ruhig!,,,,,,,ruhiger,am ruhigsten,434,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,zufrieden,zufrieden,adj,,,"content, satisfied",Ich bin mit der Wohnung zufrieden.,,,,,,,zufriedener,am zufriedensten,1483,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,aufgeregt,aufgeregt,adj,,,"excited, agitated",Die Kinder sind ganz aufgeregt.,,,,,,,aufgeregter,am aufgeregtesten,2205,,
A1,a1-03,Gefühle,a1-m1,Ich & die Anderen,gefuehle,einsam,einsam,adj,,,lonely,Am Anfang war ich oft einsam.,,,,,,,einsamer,am einsamsten,2291,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,haus,Haus,noun,das,Häuser,house,Wir haben ein großes Haus.,,,,,,,,,255,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,wohnung,Wohnung,noun,die,Wohnungen,"flat, apartment",Die Wohnung hat drei Zimmer.,,,,,,,,,808,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,zimmer,Zimmer,noun,das,Zimmer,room,"Mein Zimmer ist klein, aber hell.",,,,,,,,,513,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,kueche,Küche,noun,die,Küchen,kitchen,In der Küche riecht es gut.,,,,,,,,,1341,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,bad,Bad,noun,das,Bäder,bathroom,Das Bad ist neben der Küche.,,,,,,,,,1828,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,schlafzimmer,Schlafzimmer,noun,das,Schlafzimmer,bedroom,Das Schlafzimmer liegt nach hinten.,,,,,,,,,2458,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,wohnzimmer,Wohnzimmer,noun,das,Wohnzimmer,living room,Wir sitzen abends im Wohnzimmer.,,,,,,,,,3990,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,kinderzimmer,Kinderzimmer,noun,das,Kinderzimmer,children's room,Das Kinderzimmer ist bunt.,,,,,,,,,12615,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,flur,Flur,noun,der,Flure,"hallway, corridor",Die Schuhe stehen im Flur.,,,,,,,,,4081,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,balkon,Balkon,noun,der,Balkone,balcony,Wir frühstücken oft auf dem Balkon.,,,,,,,,,7317,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,garten,Garten,noun,der,Gärten,garden,Im Garten stehen zwei Bäume.,,,,,,,,,1878,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,keller,Keller,noun,der,Keller,"cellar, basement",Die Fahrräder sind im Keller.,,,,,,,,,1673,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,tuer,Tür,noun,die,Türen,door,Bitte mach die Tür zu.,,,,,,,,,401,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,fenster,Fenster,noun,das,Fenster,window,Das Fenster ist offen.,,,,,,,,,980,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,wand,Wand,noun,die,Wände,wall,An der Wand hängt ein Bild.,,,,,,,,,1604,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,boden,Boden,noun,der,Böden,"floor, ground",Der Boden ist noch nass.,,,,,,,,,846,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,decke,Decke,noun,die,Decken,"ceiling, blanket",Die Lampe hängt an der Decke.,,,,,,,,,2483,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,treppe,Treppe,noun,die,Treppen,stairs,"Wir nehmen die Treppe, nicht den Aufzug.",,,,,,,,,2672,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,dach,Dach,noun,das,Dächer,roof,Das Dach ist alt.,,,,,,,,,1710,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,toilette,Toilette,noun,die,Toiletten,toilet,Wo ist bitte die Toilette?,,,,,,,,,2139,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,miete,Miete,noun,die,Mieten,rent,Die Miete ist sehr hoch.,,,,,,,,,3143,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,nachbar,Nachbar,noun,der,Nachbarn,neighbour,Mein Nachbar ist sehr nett.,,,,,,,,,4596,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,mieten,mieten,verb,,,to rent,Wir mieten eine kleine Wohnung.,mietet|mietete|gemietet,haben,,,,,,,6818,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,umziehen,umziehen,verb,,,to move house,Nächsten Monat ziehen wir um.,zieht um|zog um|umgezogen,sein,true,,,,,,3680,,
A1,a1-04,Haus & Räume,a1-m2,Wohnen,wohnen,putzen,putzen,verb,,,to clean,Am Samstag putze ich die Wohnung.,putzt|putzte|geputzt,haben,,,,,,,4506,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,tisch,Tisch,noun,der,Tische,table,Das Essen steht auf dem Tisch.,,,,,,,,,926,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,stuhl,Stuhl,noun,der,Stühle,chair,Nimm dir bitte einen Stuhl.,,,,,,,,,2128,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,bett,Bett,noun,das,Betten,bed,Das Bett ist sehr bequem.,,,,,,,,,554,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,schrank,Schrank,noun,der,Schränke,"cupboard, wardrobe",Die Teller sind im Schrank.,,,,,,,,,2746,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,sofa,Sofa,noun,das,Sofas,sofa,Der Hund schläft auf dem Sofa.,,,,,,,,,4838,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,sessel,Sessel,noun,der,Sessel,armchair,Opa sitzt in seinem Sessel.,,,,,,,,,9180,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,regal,Regal,noun,das,Regale,shelf,Im Regal stehen viele Bücher.,,,,,,,,,8681,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,lampe,Lampe,noun,die,Lampen,lamp,Mach bitte die Lampe an.,,,,,,,,,4977,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,teppich,Teppich,noun,der,Teppiche,"carpet, rug",Der Teppich ist aus der Türkei.,,,,,,,,,4176,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,spiegel,Spiegel,noun,der,Spiegel,mirror,Im Bad hängt ein großer Spiegel.,,,,,,,,,2502,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,kuehlschrank,Kühlschrank,noun,der,Kühlschränke,fridge,Die Milch ist im Kühlschrank.,,,,,,,,,3320,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,herd,Herd,noun,der,Herde,"stove, cooker",Der Herd ist noch heiß.,,,,,,,,,8152,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,waschmaschine,Waschmaschine,noun,die,Waschmaschinen,washing machine,Die Waschmaschine ist kaputt.,,,,,,,,,12051,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,topf,Topf,noun,der,Töpfe,pot,Die Suppe ist im Topf.,,,,,,,,,7941,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,pfanne,Pfanne,noun,die,Pfannen,pan,Brate das Ei in der Pfanne.,,,,,,,,,11591,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,teller,Teller,noun,der,Teller,plate,Stell bitte vier Teller auf den Tisch.,,,,,,,,,3595,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,glas,Glas,noun,das,Gläser,glass,Ich trinke ein Glas Wasser.,,,,,,,,,1389,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,tasse,Tasse,noun,die,Tassen,cup,Möchtest du eine Tasse Tee?,,,,,,,,,3059,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,messer,Messer,noun,das,Messer,knife,Das Messer ist nicht scharf.,,,,,,,,,1452,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,gabel,Gabel,noun,die,Gabeln,fork,Die Gabel liegt links vom Teller.,,,,,,,,,9483,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,loeffel,Löffel,noun,der,Löffel,spoon,Ich brauche einen Löffel für die Suppe.,,,,,,,,,6236,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,handtuch,Handtuch,noun,das,Handtücher,towel,Das Handtuch hängt im Bad.,,,,,,,,,5403,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,seife,Seife,noun,die,Seifen,soap,Die Seife riecht nach Zitrone.,,,,,,,,,6304,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,kochen,kochen,verb,,,to cook,Heute koche ich Nudeln.,kocht|kochte|gekocht,haben,,,,,,,2035,,
A1,a1-05,Möbel & Haushalt,a1-m2,Wohnen,wohnen,waschen,waschen,verb,,,to wash,Ich wasche die Wäsche am Sonntag.,wäscht|wusch|gewaschen,haben,,,,,,,2777,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,brot,Brot,noun,das,Brote,bread,Deutsches Brot schmeckt mir gut.,,,,,,,,,2535,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,broetchen,Brötchen,noun,das,Brötchen,bread roll,Ich hole am Morgen frische Brötchen.,,,,,,,,,8261,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,butter,Butter,noun,die,,butter,Die Butter ist im Kühlschrank.,,,,,,,,,4847,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,kaese,Käse,noun,der,Käse,cheese,Ich esse gern Käse zum Frühstück.,,,,,,,,,2961,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,ei,Ei,noun,das,Eier,egg,Möchtest du ein Ei?,,,,,,,,,2892,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,milch,Milch,noun,die,,milk,Wir brauchen noch Milch.,,,,,,,,,2028,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,wasser,Wasser,noun,das,,water,"Ein Glas Wasser, bitte.",,,,,,,,,491,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,kaffee,Kaffee,noun,der,Kaffees,coffee,Ich trinke morgens zwei Kaffee.,,,,,,,,,706,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,tee,Tee,noun,der,Tees,tea,Möchten Sie Tee oder Kaffee?,,,,,,,,,1306,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,saft,Saft,noun,der,Säfte,juice,Der Saft ist frisch gepresst.,,,,,,,,,4853,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,bier,Bier,noun,das,Biere,beer,In Bayern trinkt man viel Bier.,,,,,,,,,1014,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,wein,Wein,noun,der,Weine,wine,Der Wein kommt aus Italien.,,,,,,,,,1248,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,fleisch,Fleisch,noun,das,,meat,Ich esse kein Fleisch.,,,,,,,,,1582,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,fisch,Fisch,noun,der,Fische,fish,Freitags gibt es oft Fisch.,,,,,,,,,1863,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,gemuese,Gemüse,noun,das,,vegetables,Gemüse ist gesund.,,,,,,,,,4861,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,obst,Obst,noun,das,,fruit,Iss jeden Tag Obst!,,,,,,,,,7235,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,apfel,Apfel,noun,der,Äpfel,apple,Der Apfel ist rot und süß.,,,,,,,,,5228,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,banane,Banane,noun,die,Bananen,banana,Die Banane ist noch grün.,,,,,,,,,9786,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,kartoffel,Kartoffel,noun,die,Kartoffeln,potato,Zum Fisch gibt es Kartoffeln.,,,,,,,,,14091,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,reis,Reis,noun,der,,rice,Der Reis ist noch nicht fertig.,,,,,,,,,5129,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,zucker,Zucker,noun,der,,sugar,Nimmst du Zucker in den Tee?,,,,,,,,,3048,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,suppe,Suppe,noun,die,Suppen,soup,Die Suppe ist zu heiß.,,,,,,,,,3171,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,salat,Salat,noun,der,Salate,"salad, lettuce",Ich nehme einen kleinen Salat.,,,,,,,,,4752,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,essen,essen,verb,,,to eat,Wann essen wir?,isst|aß|gegessen,haben,,,,,,,266,,
A1,a1-06,Essen & Trinken,a1-m3,Essen & Einkaufen,essen,trinken,trinken,verb,,,to drink,Was möchtest du trinken?,trinkt|trank|getrunken,haben,,,,,,,585,,
A1,a1-07,Einkaufen & Preise,a1-m3,Essen & Einkaufen,einkaufen|geld,geld,Geld,noun,das,,money,Ich habe kein Geld dabei.,,,,,,,,,193,,
A1,a1-07,Einkaufen & Preise,a1-m3,Essen & Einkaufen,einkaufen|geld,euro,Euro,noun,der,Euro,euro,Das kostet zwölf Euro.,,,,,,,,,3526,,
A1,a1-07,Einkaufen & Preise,a1-m3,Essen & Einkaufen,einkaufen|geld,cent,Cent,noun,der,Cent,cent,Das Brötchen kostet fünfzig Cent.,,,,,,,,,2850,,
A1,a1-07,Einkaufen & Preise,a1-m3,Essen & Einkaufen,einkaufen|geld,preis,Preis,noun,der,Preise,price,Der Preis ist zu hoch.,,,,,,,,,1141,,
